"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\D-SJC-00536589\Processor(_Total)\% Processor Time"
"03/10/2014 01:07:47.566"," "
"03/10/2014 01:07:48.992","77.250982634058957"
"03/10/2014 01:07:50.054","96.391291153533999"
"03/10/2014 01:07:51.357","99.750522064493055"
"03/10/2014 01:07:52.659","96.654514659880164"
"03/10/2014 01:07:53.671","97.68818963480031"
"03/10/2014 01:07:54.906","99.89475789052716"
"03/10/2014 01:07:56.215","99.552841725232938"
"03/10/2014 01:07:57.652","99.547752244958104"
"03/10/2014 01:07:58.976","99.901832322357279"
"03/10/2014 01:08:00.317","99.369764241855094"
"03/10/2014 01:08:01.545","99.894157976222345"
"03/10/2014 01:08:02.927","99.48273008205885"
"03/10/2014 01:08:04.163","97.738194166104051"
"03/10/2014 01:08:05.378","99.304379552249287"
"03/10/2014 01:08:06.567","99.289452454336725"
"03/10/2014 01:08:07.846","99.745946041440661"
"03/10/2014 01:08:09.069","99.787363590676549"
"03/10/2014 01:08:10.620","96.228968261795742"
"03/10/2014 01:08:11.650","87.065616003012991"
"03/10/2014 01:08:12.865","99.250553513679478"
"03/10/2014 01:08:14.179","64.192625706213406"
"03/10/2014 01:08:15.183","65.240786504053773"
"03/10/2014 01:08:16.583","95.915081269460387"
"03/10/2014 01:08:18.183","99.106143135236664"
"03/10/2014 01:08:19.191","96.065273297697786"
"03/10/2014 01:08:20.609","99.679189690975761"
"03/10/2014 01:08:21.977","99.904955023620502"
"03/10/2014 01:08:23.303","72.887180391156775"
"03/10/2014 01:08:24.587","99.89873470572735"
"03/10/2014 01:08:25.668","83.895860679921341"
"03/10/2014 01:08:26.921","99.48092649840639"
"03/10/2014 01:08:28.295","99.337832579044587"
"03/10/2014 01:08:29.541","99.84353049133351"
"03/10/2014 01:08:30.846","99.651269439481212"
"03/10/2014 01:08:32.268","99.725793237976873"
"03/10/2014 01:08:33.622","99.759841084259122"
"03/10/2014 01:08:34.897","99.898099564720539"
"03/10/2014 01:08:36.233","100"
"03/10/2014 01:08:37.816","99.794793172720048"
"03/10/2014 01:08:39.245","99.044643293952333"
"03/10/2014 01:08:40.601","98.849780191454343"
"03/10/2014 01:08:42.016","99.954056555249565"
"03/10/2014 01:08:43.381","99.761770519796329"
"03/10/2014 01:08:44.784","99.444357655009782"
"03/10/2014 01:08:45.975","99.890778146891634"
"03/10/2014 01:08:47.257","99.645287316805636"
"03/10/2014 01:08:48.287","99.87368901341209"
"03/10/2014 01:08:49.651","99.904746057017974"
"03/10/2014 01:08:50.923","99.795557994181735"
"03/10/2014 01:08:52.157","99.631503427949482"
"03/10/2014 01:08:53.361","65.372453356377775"
"03/10/2014 01:08:54.373","52.864861810246644"
"03/10/2014 01:08:55.631","99.793273949583835"
"03/10/2014 01:08:57.001","99.62037530427466"
"03/10/2014 01:08:58.391","99.719480564318786"
"03/10/2014 01:08:59.760","99.810118326955504"
"03/10/2014 01:09:01.261","99.610201251985515"
"03/10/2014 01:09:02.636","99.952736725382195"
"03/10/2014 01:09:04.029","99.859992094938292"
"03/10/2014 01:09:05.420","99.766401859814962"
"03/10/2014 01:09:06.676","99.844714450180447"
"03/10/2014 01:09:08.014","99.659873632750077"
"03/10/2014 01:09:09.417","99.814653825028216"
"03/10/2014 01:09:10.720","99.90028845017342"
"03/10/2014 01:09:12.108","99.906291272387193"
"03/10/2014 01:09:13.500","99.579674435217157"
"03/10/2014 01:09:14.922","99.771494364980725"
"03/10/2014 01:09:16.154","99.788995123053311"
